Model_Text_Combination,Model,Text_Type,Sink_Position_1,Sink_Position_2,Sink_Position_3,Sink_Position_4,Total_Sink_Attention,Sequence_Length,Effective_Sinks
gpt2_code,gpt2,code,0.37314564920961857,0.005852148092041413,0.0022118522465461865,0.005184179016699393,0.38639382856490556,325,4
gpt2_dialogue,gpt2,dialogue,0.4351401765209933,0.006906237899481009,0.0039845780362763135,0.00869643222540617,0.4547274246821568,165,4
gpt2_narrative,gpt2,narrative,0.4336233716458082,0.003911397710908204,0.0029868345979290702,0.004238286948141952,0.44475989090278745,248,4
gpt2_short,gpt2,short,0.5500468934575716,0.022328374752153952,0.024292948267733056,0.04221870486314098,0.6388869213405997,17,4
gpt2_technical,gpt2,technical,0.4340172077839573,0.003919292057010655,0.0053883891184038175,0.007175429607741535,0.4505003185671133,171,4
gpt2_large_code,gpt2-large,code,0.34054067911994124,0.009073861402511183,0.0033571298813007567,0.00684757453079025,0.3598192449345435,325,4
gpt2_large_dialogue,gpt2-large,dialogue,0.40301426381079686,0.008120848428613195,0.005493748302493866,0.010745753391852809,0.42737461393375675,165,4
gpt2_large_narrative,gpt2-large,narrative,0.412246684026387,0.006497291004052386,0.0035042507354066605,0.006138339292697815,0.42838656505854383,248,4
gpt2_large_short,gpt2-large,short,0.5918888174411323,0.027771778585803177,0.023305970192369487,0.0406930952384654,0.6836596614577704,17,4
gpt2_large_technical,gpt2-large,technical,0.41016097356461817,0.004821366433235299,0.007395464949594397,0.00822401887530254,0.4306018238227504,171,4
gpt2_medium_code,gpt2-medium,code,0.4146027995739132,0.009345757513074204,0.003042527569050435,0.006191255621767293,0.43318234027780517,325,4
gpt2_medium_dialogue,gpt2-medium,dialogue,0.4800970293581486,0.00760577500720198,0.0048308634480539086,0.009639903126905361,0.5021735709403098,165,4
gpt2_medium_narrative,gpt2-medium,narrative,0.4846411485535403,0.004709751670210001,0.003213162077978874,0.0048858237617726745,0.4974498860635018,248,4
gpt2_medium_short,gpt2-medium,short,0.6453030159076055,0.026047445833683014,0.024771411709177,0.03143961114498476,0.7275614845954502,17,4
gpt2_medium_technical,gpt2-medium,technical,0.47601859907930094,0.005236778384035763,0.005872546447790228,0.007386086916085333,0.49451401082721225,171,4
microsoft_DialoGPT_medium_code,microsoft/DialoGPT-medium,code,0.3841399773179243,0.005915282735562262,0.002548720392951509,0.0051204177337543415,0.3977243981801924,325,4
microsoft_DialoGPT_medium_dialogue,microsoft/DialoGPT-medium,dialogue,0.4547984648185472,0.010372582570804903,0.004733778492663987,0.016158136267525453,0.48606296214954153,165,4
microsoft_DialoGPT_medium_narrative,microsoft/DialoGPT-medium,narrative,0.4392701484418164,0.0032847076799953356,0.0030283432230741405,0.003419042817161729,0.4490022421620476,248,4
microsoft_DialoGPT_medium_short,microsoft/DialoGPT-medium,short,0.6167272801200548,0.027586796515000362,0.03436822541213284,0.040912377764470875,0.7195946798116589,17,4
microsoft_DialoGPT_medium_technical,microsoft/DialoGPT-medium,technical,0.46021622807408374,0.004406776065782954,0.006868185329949483,0.0063290084556986885,0.47782019792551483,171,4
