Model_Text_Combination,Model,Text_Type,Average_Attention_All_Layers,Peak_Layer_Attention,Peak_Layer_Number,Min_Layer_Attention,Attention_Std_Dev,Sequence_Length,Effective_Sinks,Layer_1_Attention,Layer_2_Attention,Layer_3_Attention,Layer_4_Attention,Layer_5_Attention,Layer_6_Attention,Layer_7_Attention,Layer_8_Attention,Layer_9_Attention,Layer_10_Attention,Layer_11_Attention,Layer_12_Attention,Layer_13_Attention,Layer_14_Attention,Layer_15_Attention,Layer_16_Attention,Layer_17_Attention,Layer_18_Attention,Layer_19_Attention,Layer_20_Attention,Layer_21_Attention,Layer_22_Attention,Layer_23_Attention,Layer_24_Attention,Layer_25_Attention,Layer_26_Attention,Layer_27_Attention,Layer_28_Attention,Layer_29_Attention,Layer_30_Attention,Layer_31_Attention,Layer_32_Attention,Layer_33_Attention,Layer_34_Attention,Layer_35_Attention,Layer_36_Attention
gpt2_code,gpt2,code,0.386393826144437,0.644558846950531,10,0.03535447642207146,0.19844274614071883,325,4,0.03535447642207146,0.08271779119968414,0.18701700866222382,0.2287347912788391,0.3572077751159668,0.43608126044273376,0.4449509382247925,0.6083570718765259,0.5192339420318604,0.644558846950531,0.5694319009780884,0.5230801105499268,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_dialogue,gpt2,dialogue,0.45472742927571136,0.6914928555488586,10,0.06447441130876541,0.20966706558861156,165,4,0.06447441130876541,0.14027684926986694,0.1834917962551117,0.3587774336338043,0.42230215668678284,0.5799490213394165,0.5791909694671631,0.664499819278717,0.5723634958267212,0.6914928555488586,0.6512669920921326,0.5486433506011963,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_narrative,gpt2,narrative,0.44475989292065304,0.6783192157745361,10,0.043296895921230316,0.21637230194311377,248,4,0.043296895921230316,0.10264801234006882,0.18220220506191254,0.34838947653770447,0.40716415643692017,0.5610657334327698,0.5447837710380554,0.6435642838478088,0.5808748602867126,0.6783192157745361,0.6709102392196655,0.5738998651504517,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_short,gpt2,short,0.6388869260748228,0.8307633996009827,10,0.3216109573841095,0.1774624381768052,17,4,0.3216109573841095,0.4415760338306427,0.355622261762619,0.5498794317245483,0.5688892602920532,0.7845759987831116,0.7459827661514282,0.8183797597885132,0.7286019921302795,0.8307633996009827,0.8149662613868713,0.7057949900627136,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_technical,gpt2,technical,0.45050031195084256,0.6752398610115051,10,0.05800589919090271,0.2057988247853435,171,4,0.05800589919090271,0.13744184374809265,0.19621697068214417,0.3659079670906067,0.4220784306526184,0.5815069079399109,0.5694807767868042,0.659528911113739,0.6043626666069031,0.6752398610115051,0.625978410243988,0.5102550983428955,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_large_code,gpt2-large,code,0.3598192578388585,0.6243009567260742,27,0.036751750856637955,0.20006745339833829,325,4,0.05695163458585739,0.09783455729484558,0.0813625231385231,0.06466268748044968,0.04115235432982445,0.036751750856637955,0.05128499120473862,0.0799541026353836,0.14020703732967377,0.19771528244018555,0.2799297571182251,0.3612343966960907,0.48734328150749207,0.3783112168312073,0.3829931318759918,0.39218398928642273,0.4708200693130493,0.4822863042354584,0.4012324810028076,0.482563853263855,0.4516284167766571,0.4922659695148468,0.5716494917869568,0.5100336670875549,0.4800674617290497,0.601693332195282,0.6243009567260742,0.5006579756736755,0.6048392057418823,0.5747126340866089,0.6153176426887512,0.5592999458312988,0.5217061638832092,0.4745331406593323,0.33749040961265564,0.06652146577835083
gpt2_large_dialogue,gpt2-large,dialogue,0.4273746106773615,0.7001524567604065,31,0.07535054534673691,0.2149651445033307,165,4,0.1011955514550209,0.1200321763753891,0.11077505350112915,0.10287027806043625,0.08258311450481415,0.07535054534673691,0.08849222213029861,0.13058754801750183,0.24296389520168304,0.25096482038497925,0.34087619185447693,0.46210357546806335,0.5243992805480957,0.466890811920166,0.43500348925590515,0.45611467957496643,0.5498879551887512,0.5862694978713989,0.5334625840187073,0.6029340624809265,0.6160774827003479,0.5723450183868408,0.5536540746688843,0.5609997510910034,0.6031578779220581,0.6846726536750793,0.6441830992698669,0.6155556440353394,0.642367422580719,0.6799054145812988,0.7001524567604065,0.6219234466552734,0.6101064085960388,0.5511112213134766,0.3484843969345093,0.11703228205442429
gpt2_large_narrative,gpt2-large,narrative,0.4283865723345015,0.7414562702178955,30,0.06854458898305893,0.22845843798975504,248,4,0.06854458898305893,0.09153810143470764,0.10305559635162354,0.09346262365579605,0.07779732346534729,0.07113762199878693,0.08046689629554749,0.11108113825321198,0.22022110223770142,0.24251331388950348,0.3222115635871887,0.4524863064289093,0.49526843428611755,0.463177353143692,0.42139309644699097,0.4709494411945343,0.5522832274436951,0.5816471576690674,0.5344614386558533,0.6261589527130127,0.6164987683296204,0.5783162713050842,0.5822802782058716,0.5837178230285645,0.5420267581939697,0.674647331237793,0.6438985466957092,0.6225709319114685,0.6606898903846741,0.7414562702178955,0.7250953912734985,0.6803843379020691,0.6327109336853027,0.5953755974769592,0.3810770809650421,0.08131511509418488
gpt2_large_short,gpt2-large,short,0.6836596603194872,0.9018990397453308,30,0.3248005509376526,0.1824327089577799,17,4,0.42722874879837036,0.4358168840408325,0.41653239727020264,0.3674113154411316,0.3461378514766693,0.3248005509376526,0.3792681097984314,0.4543103575706482,0.5608599781990051,0.5684295892715454,0.6450493931770325,0.7390857934951782,0.7319265007972717,0.6886386871337891,0.6323298811912537,0.6651700735092163,0.7324336767196655,0.7849093079566956,0.7578235864639282,0.8141265511512756,0.8381306529045105,0.8031879663467407,0.8249154686927795,0.8262083530426025,0.802873969078064,0.8802571892738342,0.8613405823707581,0.8623675107955933,0.8837767243385315,0.9018990397453308,0.8824695348739624,0.8880487680435181,0.8402991890907288,0.7991597056388855,0.74277263879776,0.5017512440681458
gpt2_large_technical,gpt2-large,technical,0.4306018255237076,0.6712743043899536,30,0.07203636318445206,0.2156746840960186,171,4,0.09623473882675171,0.09733270108699799,0.11244398355484009,0.1014113649725914,0.08211725205183029,0.07203636318445206,0.09706725925207138,0.13613082468509674,0.2508743703365326,0.26883986592292786,0.36408305168151855,0.46848800778388977,0.543228805065155,0.4965378940105438,0.45987793803215027,0.48665696382522583,0.5802302360534668,0.6111432313919067,0.5521070957183838,0.6486692428588867,0.6440253257751465,0.596839964389801,0.6228763461112976,0.5875237584114075,0.5372350811958313,0.6580537557601929,0.6273689270019531,0.6040447354316711,0.6491643190383911,0.6712743043899536,0.664331316947937,0.6078261137008667,0.5488117933273315,0.49944519996643066,0.35670337080955505,0.10063021630048752
gpt2_medium_code,gpt2-medium,code,0.43318234849721193,0.6871863603591919,20,0.06965605169534683,0.18860199935383104,325,4,0.06965605169534683,0.10098446905612946,0.08942682296037674,0.09469013661146164,0.2126007080078125,0.3739783763885498,0.49778205156326294,0.4381433427333832,0.41469305753707886,0.5150225162506104,0.3433587849140167,0.45060697197914124,0.4803236126899719,0.46467462182044983,0.624241828918457,0.6031136512756348,0.6222043633460999,0.6316893100738525,0.571359395980835,0.6871863603591919,0.6120166182518005,0.5738622546195984,0.5760852694511414,0.34867578744888306,,,,,,,,,,,,
gpt2_medium_dialogue,gpt2-medium,dialogue,0.5021735712264975,0.731730580329895,20,0.1234496608376503,0.19145561470595618,165,4,0.1234496608376503,0.16443680226802826,0.1481316089630127,0.12715446949005127,0.28734156489372253,0.43311116099357605,0.6002692580223083,0.5671873688697815,0.4700835347175598,0.6398559212684631,0.5016822814941406,0.5311701893806458,0.5782280564308167,0.5300998091697693,0.6413689851760864,0.6050233840942383,0.6888350248336792,0.6617042422294617,0.6818007230758667,0.731730580329895,0.6578783988952637,0.6907960176467896,0.6157411932945251,0.3750854730606079,,,,,,,,,,,,
gpt2_medium_narrative,gpt2-medium,narrative,0.49744989536702633,0.7401283979415894,20,0.08231065422296524,0.20559886499286636,248,4,0.08231065422296524,0.1355101764202118,0.11260445415973663,0.11193542927503586,0.2645988166332245,0.42018744349479675,0.5728887319564819,0.5538733005523682,0.4699038565158844,0.6345224976539612,0.4733591377735138,0.5284208655357361,0.6024985909461975,0.5491765737533569,0.647554874420166,0.5725889205932617,0.6878103613853455,0.6671193838119507,0.6915174722671509,0.7401283979415894,0.702147901058197,0.7313715815544128,0.6032935976982117,0.3834744691848755,,,,,,,,,,,,
gpt2_medium_short,gpt2-medium,short,0.7275614899893602,0.9209684729576111,21,0.3534364104270935,0.16142083100469778,17,4,0.457954466342926,0.5122511386871338,0.3954832851886749,0.3534364104270935,0.49707192182540894,0.6099023222923279,0.7702505588531494,0.777164101600647,0.7049776911735535,0.8076032996177673,0.7619537711143494,0.7580355405807495,0.8223625421524048,0.7807260155677795,0.8225443959236145,0.8425275087356567,0.8452466726303101,0.8386869430541992,0.8622173070907593,0.8950121402740479,0.9209684729576111,0.8723523020744324,0.8321822285652161,0.7205647230148315,,,,,,,,,,,,
gpt2_medium_technical,gpt2-medium,technical,0.49451399501413107,0.7058772444725037,20,0.11159675568342209,0.1889138131891781,171,4,0.11159675568342209,0.15456466376781464,0.138345405459404,0.13313542306423187,0.3042857050895691,0.4338310956954956,0.5781649947166443,0.5790153741836548,0.48452696204185486,0.6586273312568665,0.49326014518737793,0.5478250980377197,0.6018196940422058,0.5503258109092712,0.6426106691360474,0.6013084650039673,0.7039275765419006,0.6446266770362854,0.6280154585838318,0.7058772444725037,0.6488115787506104,0.6473091840744019,0.5447097420692444,0.33181482553482056,,,,,,,,,,,,
microsoft_DialoGPT_medium_code,microsoft/DialoGPT-medium,code,0.39772439111645025,0.6370367407798767,18,0.031088564544916153,0.20165103813234145,325,4,0.06657630950212479,0.04684615880250931,0.031088564544916153,0.0658993199467659,0.20299410820007324,0.2608218491077423,0.2637762725353241,0.3537100553512573,0.3219139277935028,0.39188435673713684,0.29850655794143677,0.35912036895751953,0.47192952036857605,0.5055397748947144,0.633569061756134,0.6275035738945007,0.6207372546195984,0.6370367407798767,0.5813425779342651,0.5832629799842834,0.5895575881004333,0.515507161617279,0.5907158255577087,0.5255454778671265,,,,,,,,,,,,
microsoft_DialoGPT_medium_dialogue,microsoft/DialoGPT-medium,dialogue,0.48606295604258776,0.742321789264679,18,0.06731456518173218,0.2028687696890036,165,4,0.11539974808692932,0.10206202417612076,0.06731456518173218,0.10260479152202606,0.3455173671245575,0.3487315773963928,0.46354448795318604,0.5218000411987305,0.42194095253944397,0.49180683493614197,0.5230288505554199,0.49065929651260376,0.6093884706497192,0.5509088635444641,0.6823837161064148,0.6319023966789246,0.6651341915130615,0.742321789264679,0.6459527015686035,0.7034710049629211,0.6711422204971313,0.6287495493888855,0.6596412658691406,0.4801042377948761,,,,,,,,,,,,
microsoft_DialoGPT_medium_narrative,microsoft/DialoGPT-medium,narrative,0.44900224544107914,0.6974830627441406,23,0.04952581971883774,0.20556595980012576,248,4,0.08086860924959183,0.07824796438217163,0.04952581971883774,0.09101904928684235,0.26853257417678833,0.2846014201641083,0.43168187141418457,0.4237838387489319,0.386325478553772,0.4201660752296448,0.44952160120010376,0.4423214793205261,0.5390323400497437,0.507960855960846,0.6360023021697998,0.5695640444755554,0.6008602380752563,0.6794742345809937,0.6764594912528992,0.6771694421768188,0.6345611810684204,0.6726899147033691,0.6974830627441406,0.4782010018825531,,,,,,,,,,,,
microsoft_DialoGPT_medium_short,microsoft/DialoGPT-medium,short,0.7195946872234344,0.8877856135368347,21,0.32213857769966125,0.16090761187220165,17,4,0.49994057416915894,0.42776188254356384,0.32213857769966125,0.3782860040664673,0.575515866279602,0.6420823335647583,0.7406330704689026,0.7863924503326416,0.7021412253379822,0.7878566384315491,0.7148045301437378,0.7510486245155334,0.8118793964385986,0.7908821105957031,0.8484376668930054,0.8622421622276306,0.8630273342132568,0.8556017279624939,0.8330812454223633,0.881157636642456,0.8877856135368347,0.830692708492279,0.7928645610809326,0.6840185523033142,,,,,,,,,,,,
microsoft_DialoGPT_medium_technical,microsoft/DialoGPT-medium,technical,0.4778201999142766,0.710157036781311,20,0.06374837458133698,0.19571604151469285,171,4,0.11570533365011215,0.09131692349910736,0.06374837458133698,0.11608827114105225,0.3558180332183838,0.371144562959671,0.4560808539390564,0.5083202719688416,0.42761752009391785,0.4805961549282074,0.5040717124938965,0.48291441798210144,0.5849469304084778,0.5622979998588562,0.6932892203330994,0.6309089660644531,0.657119870185852,0.6867910623550415,0.6271710991859436,0.710157036781311,0.6481680274009705,0.610506534576416,0.613166093826294,0.46973952651023865,,,,,,,,,,,,
