Model_Text_Combination,Model,Text_Type,Average_Similarity,Max_Similarity,Min_Similarity,Effective_Sinks,Layer_1_Similarity,Layer_2_Similarity,Layer_3_Similarity,Layer_4_Similarity,Layer_5_Similarity,Layer_6_Similarity,Layer_7_Similarity,Layer_8_Similarity,Layer_9_Similarity,Layer_10_Similarity,Layer_11_Similarity,Layer_12_Similarity,Layer_13_Similarity,Layer_14_Similarity,Layer_15_Similarity,Layer_16_Similarity,Layer_17_Similarity,Layer_18_Similarity,Layer_19_Similarity,Layer_20_Similarity,Layer_21_Similarity,Layer_22_Similarity,Layer_23_Similarity,Layer_24_Similarity,Layer_25_Similarity,Layer_26_Similarity,Layer_27_Similarity,Layer_28_Similarity,Layer_29_Similarity,Layer_30_Similarity,Layer_31_Similarity,Layer_32_Similarity,Layer_33_Similarity,Layer_34_Similarity,Layer_35_Similarity,Layer_36_Similarity
gpt2_code,gpt2,code,0.5493767658869425,0.9819223284721375,0.37460407614707947,4,0.43600213527679443,0.37460407614707947,0.5119809508323669,0.4399503171443939,0.4736316204071045,0.4972723722457886,0.5110399127006531,0.5261585712432861,0.5708867311477661,0.5965251326560974,0.6725470423698425,0.9819223284721375,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_dialogue,gpt2,dialogue,0.5567158833146095,0.9752013087272644,0.37327346205711365,4,0.48238053917884827,0.37327346205711365,0.4667746126651764,0.44230565428733826,0.4804061949253082,0.5113826394081116,0.5400463342666626,0.5645624995231628,0.5815577507019043,0.5891185402870178,0.673581063747406,0.9752013087272644,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_narrative,gpt2,narrative,0.5690634002288183,0.9110241532325745,0.39597976207733154,4,0.517579972743988,0.39597976207733154,0.501268208026886,0.46183013916015625,0.5186499953269958,0.5380587577819824,0.5538578629493713,0.5757024884223938,0.5841136574745178,0.6046075224876404,0.6660882830619812,0.9110241532325745,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_short,gpt2,short,0.5716919526457787,0.9790318012237549,0.3521648943424225,4,0.46340659260749817,0.3521648943424225,0.49664196372032166,0.4692044258117676,0.5134001970291138,0.5509527325630188,0.5635917782783508,0.5789892673492432,0.5886093378067017,0.6270723938941956,0.6772380471229553,0.9790318012237549,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_technical,gpt2,technical,0.5957672297954559,0.9551340937614441,0.3537065088748932,4,0.45190319418907166,0.3537065088748932,0.514302670955658,0.518648087978363,0.5603431463241577,0.5791750550270081,0.6067153811454773,0.6244598031044006,0.6459572315216064,0.6524743437767029,0.6863872408866882,0.9551340937614441,,,,,,,,,,,,,,,,,,,,,,,,
gpt2_large_code,gpt2-large,code,0.1009701372952097,0.5533095002174377,0.007927472703158855,4,0.2806723713874817,0.3379164934158325,0.311301589012146,0.27996012568473816,0.251531720161438,0.19320257008075714,0.14901955425739288,0.10363823175430298,0.09374261647462845,0.07842075824737549,0.0639461874961853,0.05290941894054413,0.04838570952415466,0.046148184686899185,0.04327884316444397,0.039383698254823685,0.03587156534194946,0.030979907140135765,0.024113275110721588,0.019452480599284172,0.016340479254722595,0.01594691537320614,0.015137210488319397,0.014094322919845581,0.013285152614116669,0.011942622251808643,0.012111912481486797,0.011077091097831726,0.009140998125076294,0.007927472703158855,0.009619484655559063,0.00968929659575224,0.014678518287837505,0.041857730597257614,0.5533095002174377,0.3948909342288971
gpt2_large_dialogue,gpt2-large,dialogue,0.15345946161283386,0.7213268876075745,0.03500744700431824,4,0.4021630585193634,0.4482237994670868,0.4428614377975464,0.41545569896698,0.37104544043540955,0.2901940941810608,0.2029791623353958,0.1337047964334488,0.11119011789560318,0.0948554053902626,0.08589287847280502,0.08209381252527237,0.08102986216545105,0.08151764422655106,0.08338302373886108,0.08237139135599136,0.08153792470693588,0.0784643366932869,0.07374898344278336,0.07344061136245728,0.06789811700582504,0.06184893846511841,0.05114748701453209,0.050771672278642654,0.04911063611507416,0.0471653938293457,0.04845145344734192,0.04787173494696617,0.040950480848550797,0.03842918947339058,0.03720429912209511,0.03500744700431824,0.03512997925281525,0.06683341413736343,0.7213268876075745,0.4092400074005127
gpt2_large_narrative,gpt2-large,narrative,0.1399026523059648,0.669572114944458,-0.023756107315421104,4,0.5153602957725525,0.5236087441444397,0.47286251187324524,0.44017621874809265,0.40796712040901184,0.30959567427635193,0.2186158150434494,0.14605975151062012,0.13246794044971466,0.11597276479005814,0.10846388339996338,0.09897613525390625,0.09125310927629471,0.08710088580846786,0.07649567723274231,0.0733046904206276,0.07368657737970352,0.07016249746084213,0.06199268624186516,0.05215249955654144,0.04292987659573555,0.03574034199118614,0.025865944102406502,0.01919209025800228,0.011964477598667145,0.0034087945241481066,-0.003478149650618434,-0.007823437452316284,-0.015662163496017456,-0.019901862367987633,-0.022894078865647316,-0.023756107315421104,-0.01973583735525608,0.016944289207458496,0.669572114944458,0.24785371124744415
gpt2_large_short,gpt2-large,short,0.12113622939957874,0.6137778759002686,0.0009483049507252872,4,0.2993520498275757,0.34060490131378174,0.3054983615875244,0.2887044847011566,0.27416881918907166,0.21797430515289307,0.1674850434064865,0.12508225440979004,0.10776843875646591,0.1019582748413086,0.09495548158884048,0.09170615673065186,0.08943745493888855,0.08659160137176514,0.08604677766561508,0.08566514402627945,0.08270316570997238,0.08388016372919083,0.0821956917643547,0.07341120392084122,0.06647676974534988,0.06226034462451935,0.0551871620118618,0.04801775887608528,0.04260200262069702,0.03476952016353607,0.028367871418595314,0.022678310051560402,0.017020469531416893,0.008710026741027832,0.0047273188829422,0.0009483049507252872,0.0028521865606307983,0.030208289623260498,0.6137778759002686,0.23711027204990387
gpt2_large_technical,gpt2-large,technical,0.07892626254761126,0.6940682530403137,-0.022399133071303368,4,0.2906663119792938,0.3338674008846283,0.30359897017478943,0.2818586230278015,0.25817373394966125,0.18403594195842743,0.12894338369369507,0.07233908027410507,0.05028780922293663,0.03945700079202652,0.03522370755672455,0.029387367889285088,0.02424381859600544,0.02289189212024212,0.020254498347640038,0.018891194835305214,0.01684010960161686,0.011959259398281574,0.008998448960483074,0.005952949170023203,0.001996691105887294,0.0008455465431325138,-0.006146535277366638,-0.012013405561447144,-0.014816373586654663,-0.018973613157868385,-0.0206433292478323,-0.02149198018014431,-0.022305956110358238,-0.022399133071303368,-0.02164243720471859,-0.020355412736535072,-0.014838725328445435,0.021548008546233177,0.6940682530403137,0.18064235150814056
gpt2_medium_code,gpt2-medium,code,0.6785512690742811,0.9846157431602478,0.5187432169914246,4,0.5796051621437073,0.5356029868125916,0.5187432169914246,0.7023009657859802,0.6815019249916077,0.6881547570228577,0.6840767860412598,0.6910157799720764,0.6932303309440613,0.6896191239356995,0.6889360547065735,0.6745392680168152,0.6692063212394714,0.6609554886817932,0.6554800868034363,0.6599989533424377,0.6621696949005127,0.6610139012336731,0.6712072491645813,0.6866269707679749,0.696962833404541,0.7122370600700378,0.7374297976493835,0.9846157431602478,,,,,,,,,,,,
