Model,Text_Type,Sequence_Length,Effective_Sinks,Avg_Attention_to_Sinks,Peak_Layer,Peak_Attention_Score,Status
gpt2,narrative,248,4,0.44475989292065304,10,0.6783192157745361,Success
gpt2,technical,171,4,0.45050031195084256,10,0.6752398610115051,Success
gpt2,dialogue,165,4,0.45472742927571136,10,0.6914928555488586,Success
gpt2,code,325,4,0.386393826144437,10,0.644558846950531,Success
gpt2,short,17,4,0.6388869260748228,10,0.8307633996009827,Success
gpt2-medium,narrative,248,4,0.49744989536702633,20,0.7401283979415894,Success
gpt2-medium,technical,171,4,0.49451399501413107,20,0.7058772444725037,Success
gpt2-medium,dialogue,165,4,0.5021735712264975,20,0.731730580329895,Success
gpt2-medium,code,325,4,0.43318234849721193,20,0.6871863603591919,Success
gpt2-medium,short,17,4,0.7275614899893602,21,0.9209684729576111,Success
microsoft/DialoGPT-medium,narrative,248,4,0.44900224544107914,23,0.6974830627441406,Success
microsoft/DialoGPT-medium,technical,171,4,0.4778201999142766,20,0.710157036781311,Success
microsoft/DialoGPT-medium,dialogue,165,4,0.48606295604258776,18,0.742321789264679,Success
microsoft/DialoGPT-medium,code,325,4,0.39772439111645025,18,0.6370367407798767,Success
microsoft/DialoGPT-medium,short,17,4,0.7195946872234344,21,0.8877856135368347,Success
gpt2-large,narrative,248,4,0.4283865723345015,30,0.7414562702178955,Success
gpt2-large,technical,171,4,0.4306018255237076,30,0.6712743043899536,Success
gpt2-large,dialogue,165,4,0.4273746106773615,31,0.7001524567604065,Success
gpt2-large,code,325,4,0.3598192578388585,27,0.6243009567260742,Success
gpt2-large,short,17,4,0.6836596603194872,30,0.9018990397453308,Success
EleutherAI/pythia-1.4b,narrative,N/A,N/A,N/A,N/A,N/A,Failed
EleutherAI/pythia-1.4b,technical,N/A,N/A,N/A,N/A,N/A,Failed
EleutherAI/pythia-1.4b,dialogue,N/A,N/A,N/A,N/A,N/A,Failed
EleutherAI/pythia-1.4b,code,N/A,N/A,N/A,N/A,N/A,Failed
EleutherAI/pythia-1.4b,short,N/A,N/A,N/A,N/A,N/A,Failed
